,Pos,Pld,W,D,L,GF,GA,GD,Pts,Team,PredictedPoints,PredictedPointsExtracted,PointPredDiff
1980–81,1,34,20,5,9,66,37,+29,45,Real Sociedad,Real Sociedad finished the 1980-81 La Liga season with 45 points.,45.0,0.0
1980–81,2,34,19,7,8,52,29,+23,45,Real Madrid,Real Madrid finished the 1980-81 La Liga season with 45 points.,45.0,0.0
1980–81,3,34,17,8,9,59,41,+18,42,Atlético Madrid,"According to historical records, in the 1980-81 La Liga season, Atlético Madrid finished with 42 points.",42.0,0.0
1980–81,4,34,16,10,8,46,39,+7,42,Valencia,Valencia finished the 1980-81 La Liga season with 45 points.,45.0,3.0
1980–81,5,34,18,5,11,66,41,+25,41,Barcelona,"In the 1980-81 La Liga season, Barcelona finished with 45 points.",45.0,4.0
1980–81,6,34,17,6,11,55,38,+17,40,Real Betis,"According to the records, Real Betis finished the 1980-81 La Liga season with 41 points.",41.0,1.0
1980–81,7,34,14,10,10,58,40,+18,38,Sporting Gijón,Sporting Gijón finished the 1980-81 La Liga season with 31 points.,31.0,7.0
1980–81,8,34,14,9,11,34,42,−8,37,Sevilla,"According to the records, Sevilla finished the 1980-81 La Liga season with 43 points.",43.0,6.0
1980–81,9,34,14,7,13,64,53,+11,35,Athletic Bilbao,"According to the records, Athletic Bilbao finished the 1980-81 La Liga season with 45 points.",45.0,10.0
1980–81,10,34,14,6,14,37,42,−5,34,Español,"According to the records, Español finished the 1980-81 La Liga season with 34 points.",34.0,0.0
1980–81,11,34,12,8,14,35,46,−11,32,Osasuna,"According to the records, Osasuna finished the 1980-81 La Liga season with 34 points.",34.0,2.0
1980–81,12,34,9,13,12,40,46,−6,31,Valladolid,"According to the records, in the 1980-81 La Liga season, Real Valladolid finished with 35 points.",35.0,4.0
1980–81,13,34,10,10,14,42,48,−6,30,Hércules,Hércules finished the 1980-81 La Liga season with 43 points.,43.0,13.0
1980–81,14,34,9,11,14,31,44,−13,29,Zaragoza,"According to the records, Real Zaragoza finished the 1980-81 La Liga season with 34 points.",34.0,5.0
1980–81,15,34,12,4,18,47,61,−14,28,Las Palmas,"According to the records, Las Palmas finished the 1980-81 La Liga season with 31 points.",31.0,3.0
1980–81,16,34,8,7,19,35,49,−14,23,Murcia,Murcia finished the 1980-81 La Liga season with 22 points.,22.0,1.0
1980–81,17,34,7,7,20,32,67,−35,21,Salamanca,"According to historical records, in the 1980-81 La Liga season, Salamanca finished with 34 points.",34.0,13.0
1980–81,18,34,6,7,21,30,66,−36,19,Almería,"Almería did not play in the 1980-81 La Liga season. They were playing in the Segunda División, which is the second tier of Spanish football, at that time.",,
1981–82,1,34,20,7,7,58,33,+25,47,Real Sociedad,Real Sociedad won the 1981-82 La Liga season with 47 points.,47.0,0.0
1981–82,2,34,19,7,8,75,40,+35,45,Barcelona,"In the 1981-82 La Liga season, Barcelona finished with 45 points.",45.0,0.0
1981–82,3,34,18,8,8,57,34,+23,44,Real Madrid,Real Madrid finished the 1981-82 La Liga season with 46 points.,46.0,2.0
1981–82,4,34,18,4,12,63,41,+22,40,Athletic Bilbao,"According to the records, Athletic Bilbao finished the 1981-82 La Liga season with 45 points.",45.0,5.0
1981–82,5,34,17,5,12,54,46,+8,39,Valencia,"According to the records, in the 1981-82 La Liga season, Valencia finished with 45 points.",45.0,6.0
1981–82,6,34,15,6,13,53,44,+9,36,Real Betis,"According to the records, Real Betis finished the 1981-82 La Liga season with 38 points.",38.0,2.0
1981–82,7,34,15,5,14,52,39,+13,35,Sevilla,"According to the records, Sevilla finished the 1981-82 La Liga season with 38 points.",38.0,3.0
1981–82,8,34,15,4,15,38,37,+1,34,Atlético Madrid,"According to historical records, in the 1981-82 La Liga season, Atlético Madrid finished with 42 points.",42.0,8.0
1981–82,9,34,13,8,13,40,53,−13,34,Valladolid,"According to the records, Real Valladolid finished the 1981-82 La Liga season with 38 points.",38.0,4.0
1981–82,10,34,14,6,14,45,45,0,34,Osasuna,"According to the records, Osasuna finished the 1981-82 La Liga season with 34 points.",34.0,0.0
1981–82,11,34,13,8,13,45,56,−11,34,Zaragoza,"According to the records, Real Zaragoza finished the 1981-82 La Liga season with 38 points.",38.0,4.0
1981–82,12,34,12,8,14,41,52,−11,32,Racing Santander,Racing Santander finished the 1981-82 La Liga season with 38 points.,38.0,6.0
1981–82,13,34,13,6,15,48,55,−7,32,Español,"According to the records, in the 1981-82 La Liga season, Español finished with 31 points.",31.0,1.0
1981–82,14,34,10,9,15,38,44,−6,29,Sporting Gijón,Sporting Gijón finished the 1981-82 La Liga season with 38 points.,38.0,9.0
1981–82,15,34,11,7,16,41,53,−12,29,Las Palmas,"According to the records, Las Palmas finished the 1981-82 La Liga season with 43 points.",43.0,14.0
1981–82,16,34,13,3,18,31,47,−16,29,Cádiz,Cádiz finished the 1981-82 La Liga season with 38 points.,38.0,9.0
1981–82,17,34,11,5,18,41,52,−11,27,Hércules,Hércules finished the 1981-82 La Liga season with 34 points.,34.0,7.0
1981–82,18,34,3,6,25,33,82,−49,12,Castellón,"According to the records, Castellón finished the 1981-82 La Liga season with 34 points.",34.0,22.0
1982–83,1,34,22,6,6,71,36,+35,50,Athletic Bilbao,Athletic Bilbao finished the 1982-83 La Liga season with 51 points.,51.0,1.0
1982–83,2,34,20,9,5,57,25,+32,49,Real Madrid,Real Madrid finished the 1982-83 La Liga season with 52 points.,52.0,3.0
1982–83,3,34,20,6,8,56,38,+18,46,Atlético Madrid,"According to historical records, in the 1982-83 La Liga season, Atlético Madrid finished with 46 points.",46.0,0.0
1982–83,4,34,17,10,7,60,29,+31,44,Barcelona,"In the 1982-83 La Liga season, Barcelona finished with 49 points.",49.0,5.0
