CONM,year,mcap,revt,PERMNO,GVKEY,TIC,SIC,CIK
J & J SNACK FOODS CORP,2021,9.479330330514346,1144.579,10026,12825.0,JJSF,2050,785956.0
ENVELA CORP,2021,8.03975012119524,140.966,10028,12096.0,ELA,5990,701719.0
PLEXUS CORP,2021,9.428884815925397,3368.865,10032,12945.0,PLXS,3672,785786.0
ROCKY MOUNTAIN CHOC FACT INC,2021,7.685647258082946,32.342,10044,11976.0,RMCF,2060,1616262.0
ORACLE CORP,2021,11.367150249497003,42440.0,10104,12142.0,ORCL,7370,1341439.0
MICROSOFT CORP,2021,12.40227581432444,168088.0,10107,12141.0,MSFT,7372,789019.0
PRICE (T. ROWE) GROUP,2021,10.6538391055645,7671.9,10138,12138.0,TROW,6282,1113169.0
HONEYWELL INTERNATIONAL INC,2021,11.15533638013788,34392.0,10145,1300.0,HON,9997,773840.0
AMERESCO INC,2021,9.436646776119774,1215.697,10158,185128.0,AMRC,1600,1488139.0
REPLIGEN CORP,2021,10.165873601162762,670.534,10200,12181.0,RGEN,2836,730272.0
BWX TECHNOLOGIES INC,2021,9.644894483390424,2124.074,10220,185229.0,BWXT,3559,1486957.0
INDEPENDENT BANK CORP/MA,2021,9.586637425663325,520.868,10252,16889.0,INDB,6020,776901.0
DOCUMENT SECURITY SYS INC,2021,7.729078181441419,20.275,10253,18290.0,DSS,7373,771999.0
DLH HOLDINGS CORP,2021,8.42251262507985,246.094,10257,12304.0,DLHC,8090,785557.0
CELLDEX THERAPEUTICS INC,2021,9.25663289876777,4.651,10258,179598.0,CLDX,2836,744218.0
HAVERTY FURNITURE,2021,7.589513580848722,1012.799,10294,5523.0,HVT,5712,216085.0
TOMPKINS FINANCIAL CORP,2021,9.088206711649224,320.167,10308,17240.0,TMP,6020,1005817.0
BALCHEM CORP  -CL B,2021,9.73588528974937,799.023,10318,1979.0,BCPC,2834,9326.0
XOMA CORP,2021,8.372760617600523,38.16,10333,12252.0,XOMA,2836,791908.0
DAILY JOURNAL CORP,2021,8.692533324584147,49.389,10355,12568.0,DJCO,7372,783412.0
ASTEC INDUSTRIES INC,2021,9.197850995182934,1097.2,10382,12262.0,ASTE,3531,792987.0
WERNER ENTERPRISES INC,2021,9.496313924407623,2734.372,10397,12266.0,WERN,4213,793074.0
SKYWEST INC,2021,9.29665071353752,2713.491,10421,12392.0,SKYW,4512,793733.0
FRP HOLDINGS INC,2021,8.735563611837936,31.22,10443,12926.0,FRPH,6512,844059.0
RESEARCH FRONTIERS INC,2021,7.735902161260923,1.263,10463,12377.0,REFR,8731,793524.0
AMERICAN WOODMARK CORP,2021,9.033570104151256,1857.186,10501,12379.0,AMWD,2430,794619.0
KASPIEN HOLDINGS INC,2021,7.415422777170017,143.713,10514,12421.0,KSPN,5735,795212.0
